,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize
70,0,2,165,1,0,6,11,0,4
71,0,3,52,1,0,6,8,0,4
72,0,3,165,1,0,6,8,2,3
73,0,2,12,1,0,3,8,6,6
74,0,2,57,3,1,6,6,2,4
75,0,3,53,1,0,3,13,6,6
76,0,3,165,1,0,6,6,5,0
77,0,2,164,1,0,0,8,6,4
78,0,2,164,1,0,0,8,0,4
79,0,2,165,1,0,0,11,0,1
81,0,2,165,1,0,0,8,0,4
82,0,2,165,1,0,0,9,6,2
83,0,3,165,1,0,1,8,0,2
84,0,3,101,1,0,0,8,0,1
85,0,0,125,1,0,0,4,0,2
86,0,0,57,1,0,3,8,1,3
88,0,3,27,3,0,6,8,6,3
89,0,2,27,1,0,0,8,2,4
90,0,3,40,1,0,0,8,0,1
92,0,2,165,1,0,3,8,0,2
93,0,2,125,1,0,0,8,6,4
95,0,1,57,1,0,0,12,6,5
96,0,0,165,1,0,0,8,0,1
97,0,0,159,1,0,0,8,0,3
99,0,3,165,1,0,3,8,6,4
102,0,3,57,1,0,3,6,0,4
103,0,0,165,1,0,0,15,6,4
104,0,0,27,1,0,0,8,6,0
105,0,1,164,1,0,1,9,5,7
106,0,2,164,1,0,0,13,0,1
107,0,2,71,1,0,3,3,0,4
108,0,0,164,1,0,3,8,0,8
110,0,1,164,1,0,0,0,6,1
111,0,2,101,1,0,0,6,4,2
112,0,0,71,1,0,0,4,0,0
113,0,2,164,1,0,0,7,6,4
115,0,1,165,1,0,0,8,0,1
116,0,3,145,1,0,6,10,4,6
117,2,2,164,1,0,6,8,0,2
119,0,2,165,1,0,0,11,0,0
121,0,2,166,1,0,6,8,1,4
123,0,2,165,1,0,6,3,0,2
125,0,0,165,1,0,0,15,0,6
126,0,2,50,1,0,3,6,0,4
127,0,2,165,1,0,0,8,6,5
130,0,2,15,2,0,0,8,6,4
131,0,0,165,1,0,0,3,0,2
132,0,2,52,1,0,0,7,0,3
133,0,3,71,1,0,0,8,0,7
134,0,3,165,1,0,0,8,6,3
135,0,2,164,1,0,0,5,6,1
136,0,3,165,1,0,6,4,5,0
137,0,3,71,1,0,0,7,2,4
138,0,2,149,1,0,6,8,6,7
140,0,2,27,1,0,6,7,6,7
143,0,3,164,1,0,0,8,6,7
145,0,2,40,1,0,3,6,6,1
146,0,2,44,3,1,6,8,0,3
148,0,2,91,1,0,0,8,6,3
149,0,3,164,1,0,3,0,0,4
150,0,3,146,1,0,0,8,6,1
151,2,0,121,2,0,6,8,0,3
152,0,2,76,1,0,3,6,0,3
153,1,2,164,1,0,6,8,2,1
156,0,0,165,1,0,0,8,0,6
157,0,2,165,1,0,0,8,2,3
158,0,1,53,1,0,3,8,3,1
159,0,3,165,1,0,3,8,4,3
160,0,3,165,1,0,0,8,4,3
161,0,0,165,1,1,3,13,6,7
162,0,0,76,3,0,6,8,6,5
163,0,0,27,1,0,6,8,0,3
164,0,3,71,1,0,0,15,0,3
165,0,2,57,1,0,6,15,0,2
166,1,3,165,1,0,0,11,0,3
167,0,2,165,1,0,0,8,5,6
168,0,0,76,1,0,3,8,0,3
169,0,2,165,1,0,6,8,6,4
171,0,2,149,1,0,3,8,0,6
172,1,1,165,1,0,0,12,0,3
173,0,3,162,1,0,3,8,4,3
174,0,3,165,1,0,0,15,0,0
176,0,2,165,1,0,0,8,0,0
177,0,2,165,3,0,0,8,0,4
181,0,2,164,1,0,3,8,6,0
183,0,3,71,1,0,0,8,0,2
184,0,3,149,1,0,6,8,6,0
185,0,2,165,1,0,0,8,0,3
186,2,2,165,3,0,6,8,6,4
187,0,2,33,1,0,0,3,6,0
189,0,2,164,1,0,0,8,6,1
191,0,2,57,2,1,6,8,6,1
192,0,0,33,1,0,0,8,0,4
193,1,1,165,1,0,0,0,3,7
194,0,0,165,1,0,0,8,0,8
195,0,0,165,1,0,0,7,6,0
197,3,2,165,1,0,0,8,5,2
198,0,3,165,1,0,3,6,2,2
199,0,0,53,1,0,3,13,6,3
200,0,3,12,3,0,0,12,2,7
201,0,2,145,1,0,0,8,3,4
203,0,2,53,3,0,3,7,0,7
206,0,0,33,1,0,0,8,0,4
207,0,2,165,1,0,0,6,4,5
209,0,0,33,1,0,6,7,3,0
211,0,2,125,1,0,0,2,3,7
212,0,2,110,1,1,0,7,1,4
214,0,1,57,1,0,3,8,0,5
215,0,3,71,1,0,0,8,0,4
216,0,3,165,1,0,6,8,2,7
217,0,0,39,1,0,0,8,4,6
218,0,0,71,1,0,3,8,6,0
219,0,3,165,1,0,6,4,6,1
220,0,1,165,1,0,3,8,4,3
221,0,2,137,1,0,0,6,2,1
223,0,3,165,1,0,0,8,2,6
224,0,2,166,1,0,0,8,2,3
225,0,2,125,1,0,0,15,0,0
229,0,3,125,1,0,3,8,0,5
230,0,0,165,1,0,6,15,0,3
231,0,0,163,1,0,0,3,4,0
232,0,2,110,1,0,0,7,0,1
234,0,2,165,1,0,0,8,4,4
235,0,2,165,1,0,0,6,6,0
236,0,0,158,1,0,6,7,3,1
237,0,0,165,1,0,0,12,6,4
238,0,3,165,1,0,3,8,2,6
239,0,2,9,1,0,0,8,6,3
240,0,2,71,1,0,0,8,0,1
241,0,0,165,1,0,3,4,0,0
243,0,3,71,0,0,0,7,0,1
246,1,3,9,1,0,0,6,6,0
247,0,1,60,2,0,3,6,0,3
249,0,2,165,3,0,0,8,6,5
250,0,2,27,1,0,3,8,6,1
252,0,2,33,1,0,0,8,0,1
253,0,0,137,2,0,0,8,6,2
254,0,3,71,1,0,3,8,0,3
255,0,3,165,1,0,3,4,4,2
256,0,0,33,1,0,0,8,6,2
257,0,3,110,2,1,0,6,0,6
258,0,0,165,1,0,0,0,6,1
260,0,2,164,1,0,3,3,3,6
261,0,3,33,1,0,6,11,0,3
262,0,0,48,1,0,0,8,2,7
263,0,3,71,1,0,0,6,2,1
264,0,0,39,1,0,6,8,1,3
267,0,1,165,1,0,0,8,2,4
268,0,1,53,1,0,1,3,1,0
269,0,2,71,2,0,0,6,5,2
270,0,3,117,1,0,3,8,1,0
273,0,3,77,1,0,0,8,6,4
274,0,2,165,1,0,0,12,2,2
275,0,3,33,1,0,1,3,4,0
276,0,2,164,1,0,6,8,3,0
279,0,3,73,1,1,3,11,0,6
281,0,2,164,1,0,0,8,4,3
283,0,3,71,2,0,0,6,0,3
284,0,1,71,1,0,0,8,0,2
286,0,0,71,1,0,0,0,0,0
287,1,0,165,1,0,0,2,0,3
288,0,2,71,1,0,0,8,4,1
291,0,3,165,1,0,0,8,0,0
295,0,0,76,1,0,0,6,0,0
296,2,2,33,3,1,6,8,6,4
300,0,0,33,2,0,0,6,4,4
301,0,2,145,3,0,3,8,6,6
305,0,3,165,1,0,0,8,0,2
306,0,0,162,1,0,3,8,2,4
307,2,2,57,2,1,0,11,6,3
308,0,0,76,1,0,6,8,0,4
311,0,2,131,1,1,0,8,6,6
313,0,3,164,1,0,3,13,0,6
315,0,2,165,1,0,0,14,2,3
317,1,2,125,1,0,3,13,3,1
318,2,2,165,2,1,6,8,6,1
321,0,2,71,3,0,0,8,0,4
322,0,2,73,2,1,0,8,1,4
324,0,3,165,1,0,0,8,2,3
326,0,2,132,1,0,3,8,0,4
328,0,0,57,1,0,0,8,0,3
329,0,2,164,1,0,0,8,0,2
330,1,2,165,1,0,3,8,4,2
331,0,0,48,1,0,0,8,6,1
332,0,2,165,1,0,3,8,0,3
334,0,2,145,1,0,0,7,6,4
335,0,3,164,1,0,0,2,0,6
336,0,2,71,1,0,3,7,3,4
338,0,3,44,1,0,0,8,6,1
340,0,2,57,1,0,3,8,0,4
342,0,2,9,1,0,0,8,4,5
344,2,2,57,2,1,0,8,6,4
345,0,2,52,1,0,6,8,0,2
346,0,2,165,1,0,0,15,6,3
347,0,3,165,1,0,0,6,5,2
348,0,3,71,1,0,0,6,0,2
349,0,3,165,1,0,0,2,3,4
350,0,0,165,1,0,3,4,6,2
352,0,1,76,1,0,0,13,1,6
353,0,0,165,1,0,0,8,6,7
354,2,2,57,2,1,0,12,6,2
355,0,2,149,1,0,6,8,6,4
357,0,3,164,1,0,3,6,0,3
358,0,2,43,1,0,3,6,2,4
360,0,2,33,1,0,0,13,0,6
361,0,0,39,1,0,0,8,6,2
362,0,3,110,1,1,0,6,0,2
363,0,2,165,1,0,3,8,0,3
364,0,2,165,1,0,3,5,6,2
365,1,3,57,1,1,1,3,4,5
366,0,2,165,1,0,0,8,4,7
368,0,3,9,1,0,4,8,0,1
369,3,0,165,1,0,0,8,2,2
370,0,2,101,1,0,0,11,6,5
371,0,0,165,1,0,0,8,0,0
373,0,3,165,1,0,0,12,0,0
374,0,3,165,1,0,0,8,0,3
377,0,3,127,1,0,3,8,4,4
379,0,0,164,1,0,0,7,6,3
380,1,2,165,2,1,6,13,0,4
382,0,3,15,3,0,6,8,6,1
383,0,3,165,1,0,3,8,0,4
384,0,0,164,1,0,0,8,6,7
385,0,0,165,1,0,0,8,6,7
386,0,2,57,1,0,3,8,0,3
387,0,0,165,1,0,0,8,0,2
388,0,3,76,1,0,0,8,0,3
389,0,2,57,1,0,0,6,6,5
390,0,3,2,2,0,0,7,2,7
391,0,2,165,1,0,0,8,6,6
393,0,3,27,1,0,6,8,6,1
394,0,3,165,1,0,0,8,0,2
395,0,1,143,1,0,0,11,6,4
396,0,0,33,1,0,0,8,0,7
398,0,3,149,1,0,0,8,6,4
399,0,0,27,1,0,3,4,6,4
400,0,2,165,1,0,3,8,0,4
401,0,3,165,1,0,0,6,0,0
402,0,2,110,1,0,6,8,0,2
403,2,2,165,3,1,6,12,6,7
404,2,2,164,1,0,0,9,1,3
405,0,1,165,1,0,0,8,0,3
406,0,2,165,1,0,0,8,0,4
407,0,1,113,1,0,3,8,0,0
408,0,2,132,1,0,4,13,0,3
410,0,2,165,1,0,0,8,6,4
412,0,2,27,1,0,6,8,3,1
413,0,2,165,1,0,3,8,3,8
419,0,2,57,1,0,3,8,6,1
420,1,3,167,1,0,0,2,4,4
422,0,2,57,1,0,3,8,6,4
423,1,0,165,1,0,3,2,2,3
424,0,2,57,1,0,0,8,0,4
425,0,3,164,1,0,3,8,1,0
426,0,2,165,1,0,0,8,6,4
427,0,2,2,1,0,0,8,6,7
429,0,3,165,1,0,0,8,4,1
430,0,2,165,1,0,0,8,6,4
431,0,3,165,1,0,0,8,5,6
433,0,2,165,1,0,0,8,0,6
436,0,2,33,1,0,6,8,3,0
437,0,3,27,1,0,0,7,2,3
438,0,3,165,1,0,3,8,0,3
439,0,3,165,1,0,0,2,0,3
442,0,3,165,1,0,0,0,2,1
444,0,3,12,1,0,3,8,0,3
445,0,2,110,3,0,6,7,0,2
446,0,0,71,1,0,0,8,0,2
447,0,2,164,1,0,3,3,2,7
448,0,2,131,1,0,3,6,0,4
449,0,3,165,1,0,0,6,0,4
450,0,2,165,1,0,0,6,3,5
451,0,1,165,1,0,0,8,0,2
452,0,2,33,1,0,6,7,0,7
454,0,3,71,1,0,0,6,0,4
455,0,2,137,1,0,1,8,0,2
457,0,2,165,1,0,1,4,3,2
458,1,3,165,1,0,0,4,0,2
459,0,3,27,1,0,0,8,4,3
460,0,2,117,1,0,6,7,6,4
461,0,0,132,1,0,3,2,0,4
462,0,3,165,1,0,0,8,2,4
463,0,3,76,1,0,0,2,0,4
466,0,3,52,1,0,3,6,2,4
467,1,3,57,3,0,3,8,4,8
468,0,3,149,1,0,6,8,6,4
469,0,0,33,1,0,6,8,4,4
470,0,3,165,1,0,0,8,0,3
471,0,3,165,3,0,0,8,6,6
472,0,2,165,1,0,0,12,0,6
473,0,0,165,1,0,0,8,6,2
474,0,0,57,1,0,3,4,6,3
475,0,2,165,1,0,0,3,2,4
476,0,3,165,1,0,6,7,6,0
478,0,0,145,1,0,3,4,0,2
479,0,3,149,1,0,0,8,6,3
480,0,0,165,1,0,0,6,0,9
482,0,2,75,1,0,6,14,6,3
483,0,3,36,1,0,0,10,5,1
484,1,2,165,1,0,3,2,4,7
486,0,2,40,1,0,3,8,0,4
487,0,1,33,1,0,6,9,6,0
488,0,2,165,1,0,0,8,0,8
489,0,2,33,1,0,0,8,0,4
490,0,0,33,1,0,0,8,0,1
491,0,0,33,1,0,0,15,0,2
492,0,3,165,1,0,0,8,0,3
493,1,3,165,1,0,1,8,4,2
495,1,3,164,1,1,6,8,6,4
498,1,2,57,1,0,0,8,6,9
499,0,0,165,1,0,0,6,0,4
501,0,0,165,1,0,6,0,6,4
502,1,3,109,1,0,0,8,6,4
503,0,3,165,1,0,0,6,2,4
504,0,2,165,1,0,6,11,2,1
507,0,2,101,1,0,0,8,6,2
508,1,3,165,1,0,3,3,0,2
510,0,2,165,1,0,0,4,6,2
512,0,3,165,1,0,6,13,1,3
513,0,0,9,3,1,6,12,0,4
514,0,1,52,1,0,0,0,4,5
515,0,2,165,1,0,6,8,0,4
517,0,2,165,1,0,0,6,6,7
518,0,3,71,2,0,0,8,6,0
522,0,2,132,1,0,0,8,2,7
523,0,3,33,1,0,0,8,6,3
525,0,0,165,1,0,0,8,0,4
526,1,1,165,1,0,6,11,0,6
527,1,2,165,1,0,1,5,0,4
528,1,0,48,1,0,6,0,1,1
530,0,3,165,1,0,0,8,1,4
531,0,2,165,1,0,0,6,6,4
533,0,2,164,1,0,0,8,0,3
534,0,3,57,1,0,0,8,4,4
536,0,2,27,3,0,6,8,0,1
539,1,0,165,1,0,3,0,0,0
540,0,1,165,1,0,3,8,3,2
545,0,2,165,1,0,0,8,0,4
546,0,2,53,1,0,3,8,6,7
547,0,0,27,1,0,0,8,6,3
548,0,3,165,1,0,0,8,0,4
549,0,3,165,1,0,0,8,2,4
551,0,1,71,1,0,3,13,0,6
552,1,2,33,1,0,3,2,6,2
553,0,3,149,1,0,3,8,4,7
555,0,0,165,1,0,0,8,0,1
556,0,2,71,1,0,6,7,0,1
558,0,2,165,1,0,6,7,0,3
560,0,0,132,1,1,6,11,4,1
562,0,0,165,1,0,0,15,6,3
564,0,2,165,1,0,0,3,0,1
565,0,0,40,1,0,3,8,0,4
567,0,2,165,1,0,3,8,2,0
568,0,1,165,1,0,3,8,5,4
569,0,3,165,1,0,3,8,0,6
571,1,2,163,3,0,0,15,6,1
572,0,2,164,1,0,0,8,3,1
573,0,0,71,1,0,0,8,0,3
574,1,2,53,1,0,0,11,6,2
575,0,2,164,1,0,6,10,0,4
576,0,3,76,1,0,0,8,6,1
577,0,0,164,1,0,6,7,0,4
580,0,2,68,2,0,3,8,0,1
581,0,2,71,1,0,0,8,6,2
582,0,2,165,1,0,3,8,0,6
583,0,2,149,1,0,6,8,6,3
584,0,3,17,2,0,4,8,1,4
585,0,2,165,1,0,0,8,0,8
586,0,3,165,1,0,6,10,2,0
588,0,2,27,1,0,6,7,0,4
589,0,2,164,1,0,6,11,1,0
590,0,2,165,1,0,3,3,6,4
591,0,2,165,1,0,6,13,0,4
592,0,2,165,1,0,3,8,2,2
594,1,3,76,1,0,6,11,0,9
595,0,0,165,1,0,0,8,6,6
596,0,2,165,1,0,0,8,6,4
597,0,2,165,1,0,0,9,0,4
599,0,2,131,1,0,0,8,0,4
600,1,2,141,3,1,6,10,0,7
602,0,3,60,1,0,6,8,6,3
605,0,2,52,1,0,0,11,4,4
606,0,2,33,1,0,0,8,6,5
607,0,2,165,1,0,6,7,0,4
608,0,3,17,1,0,3,12,0,3
609,0,2,165,3,0,6,8,4,5
611,0,2,165,1,0,0,8,6,3
612,0,3,43,2,1,0,8,1,7
613,0,3,110,3,0,6,8,6,4
614,0,3,165,1,0,0,11,4,5
616,1,2,71,1,0,0,2,4,4
617,0,2,11,1,0,0,15,0,1
618,1,3,165,2,1,6,15,3,0
621,0,1,165,1,0,0,8,1,7
622,0,3,57,1,0,0,6,6,3
623,0,0,57,1,0,3,4,6,0
624,0,2,165,1,0,6,11,0,2
625,0,2,165,1,0,3,0,5,3
626,0,3,150,1,0,3,6,0,6
627,0,3,164,1,0,6,8,4,4
628,0,0,165,1,0,0,8,6,0
630,0,2,165,1,0,1,8,6,6
631,0,3,165,1,0,0,3,0,4
632,0,3,165,1,0,6,10,5,3
634,0,2,33,2,0,0,8,0,3
636,0,3,27,2,1,0,6,0,4
637,1,2,110,2,1,0,3,6,4
639,0,1,165,1,0,0,0,0,2
640,1,2,165,2,0,0,3,5,0
641,0,3,145,1,0,0,8,0,4
643,0,3,165,1,0,0,6,2,1
644,0,2,27,1,0,0,7,0,0
645,0,2,162,1,0,0,6,2,1
646,0,2,165,1,0,0,6,4,4
648,0,3,165,1,0,6,8,5,4
650,0,2,101,1,0,0,11,6,7
651,0,2,164,1,0,0,13,0,4
652,1,2,165,1,0,1,13,0,0
655,0,2,80,1,0,3,8,6,3
656,1,2,165,3,0,6,14,2,3
657,0,2,165,1,0,0,8,0,3
658,1,2,165,1,0,3,0,0,0
659,0,0,165,1,0,0,3,6,2
661,0,0,27,1,0,0,8,6,5
662,0,2,27,3,0,0,8,0,3
663,0,2,57,1,0,3,8,6,2
664,0,3,165,1,0,0,9,3,6
665,0,3,110,1,0,6,8,0,1
666,1,3,165,1,0,0,11,6,7
667,0,3,165,1,0,3,7,6,2
668,0,3,165,1,0,0,9,0,4
670,0,3,165,1,0,0,8,1,2
672,0,0,165,1,0,0,13,6,1
673,0,3,165,1,0,3,8,0,3
674,0,2,110,1,0,6,7,6,1
675,0,2,75,1,0,0,6,0,0
676,0,2,43,1,0,3,11,6,5
677,0,0,165,1,0,6,8,0,3
678,0,0,33,1,0,0,4,0,1
679,0,2,165,1,0,0,11,0,7
680,0,2,164,1,0,0,7,2,7
681,0,0,18,1,0,6,7,6,4
682,0,3,165,1,0,0,6,0,4
683,2,2,165,2,1,6,8,6,1
685,0,2,165,1,0,0,8,4,2
687,1,2,69,1,0,1,6,4,2
688,0,2,165,1,0,3,13,0,2
689,0,3,165,1,0,0,8,0,1
690,0,0,165,1,0,0,8,0,7
691,0,2,77,1,0,6,8,6,1
692,0,0,27,1,0,0,6,0,0
693,0,2,165,1,0,3,3,6,3
694,0,2,165,1,0,6,8,6,4
696,0,2,165,1,0,0,8,0,0
697,0,2,149,1,0,0,8,2,4
700,0,2,165,1,0,0,6,6,0
701,0,0,165,1,0,0,8,0,4
703,0,1,165,1,0,0,6,6,3
704,0,0,27,1,0,0,8,6,4
706,0,2,164,1,0,3,8,0,2
707,0,0,165,1,0,6,4,0,0
709,1,0,165,1,0,3,9,0,3
710,0,1,165,1,0,3,4,6,2
711,1,1,146,1,0,0,8,0,3
712,0,1,150,1,0,3,6,0,2
714,0,2,165,1,0,0,9,0,4
715,0,2,27,1,0,3,8,4,2
717,0,3,33,1,0,0,8,4,3
719,0,0,159,1,0,0,6,6,6
720,0,0,77,1,0,6,8,1,0
722,0,3,165,1,0,0,7,0,2
724,0,2,165,1,0,0,8,0,2
725,0,2,165,1,0,0,8,0,0
727,0,2,71,1,0,0,8,4,1
728,1,0,71,1,0,3,4,3,1
729,0,1,131,1,0,3,7,0,3
730,0,2,57,1,0,6,10,0,0
731,3,2,92,1,0,6,4,0,4
732,0,2,159,3,0,6,6,5,4
733,0,1,57,1,0,3,8,0,3
734,0,3,71,1,0,0,8,6,2
735,0,2,165,1,0,0,8,0,7
736,0,1,76,1,0,6,8,0,3
737,0,2,76,3,0,3,8,0,3
738,0,2,69,1,0,0,8,6,3
739,0,0,33,1,0,1,8,0,7
741,0,2,71,1,0,0,8,6,9
742,0,2,27,1,0,0,8,0,6
743,0,2,165,1,0,0,8,0,2
744,0,2,33,1,0,0,7,0,4
745,0,2,52,1,0,0,11,0,3
747,0,2,165,1,0,6,10,0,6
748,0,2,57,1,0,3,8,6,0
750,0,2,165,1,0,0,8,0,2
751,1,2,164,1,0,6,11,3,5
755,0,2,165,1,0,0,8,0,3
756,0,2,165,1,0,0,8,6,4
757,0,2,75,1,0,3,6,3,7
758,0,3,165,1,0,0,8,0,2
759,0,2,110,1,0,0,8,6,0
761,0,2,165,1,0,0,7,4,3
762,0,2,165,1,0,3,2,0,3
763,0,2,159,3,0,0,8,6,6
764,0,3,165,2,0,0,3,6,7
765,0,3,18,1,0,6,7,0,4
770,0,0,165,1,0,0,11,5,2
772,0,0,165,1,0,0,11,0,5
773,1,2,165,1,0,3,4,3,0
774,0,2,165,1,0,3,6,6,2
775,0,3,165,1,0,6,8,0,2
777,0,1,165,1,0,0,8,0,2
778,0,0,165,1,0,0,12,2,1
781,0,3,145,1,0,0,7,0,3
783,0,2,165,2,0,0,13,6,7
785,0,3,132,1,0,6,8,1,1
786,0,2,57,1,0,1,6,2,4
787,0,3,165,1,0,0,9,0,1
788,1,2,165,1,0,6,7,6,5
789,0,2,162,1,0,3,7,6,4
790,0,0,165,1,0,0,8,0,2
791,0,2,165,1,0,0,8,6,2
794,0,2,165,1,0,0,8,0,0
795,1,2,110,1,0,0,8,0,2
796,0,0,165,1,0,0,1,6,1
797,1,0,9,1,0,3,8,4,0
799,0,3,33,1,0,0,8,0,3
800,0,2,169,1,0,6,8,6,3
801,1,2,165,1,0,1,3,0,5
804,1,3,164,1,0,1,8,0,2
805,3,3,75,1,0,0,8,0,3
806,0,2,165,1,0,0,8,3,4
807,0,2,165,1,0,0,8,6,0
808,0,2,117,1,0,3,8,4,7
809,0,0,165,1,0,0,8,0,4
810,0,2,33,1,0,0,8,0,3
811,1,2,165,3,1,3,13,6,5
812,0,2,33,1,0,0,8,6,4
813,0,2,76,1,0,0,8,0,3
816,0,1,145,1,0,0,7,0,3
818,0,1,165,1,0,0,0,4,2
819,0,0,76,2,0,0,7,6,6
820,0,0,165,1,0,0,8,0,4
822,0,3,165,1,0,6,2,6,3
823,1,2,40,1,0,3,6,0,2
824,0,3,165,1,0,0,8,3,6
825,1,2,77,1,0,3,6,2,3
827,0,2,33,1,0,0,8,6,4
828,0,0,27,3,1,0,8,1,0
829,0,2,150,3,1,0,8,0,1
830,0,3,71,2,0,3,13,4,2
831,0,3,165,1,0,0,13,6,6
832,0,2,33,1,0,0,8,6,2
834,0,0,76,1,0,0,8,0,7
835,0,3,165,1,0,0,7,4,2
836,0,2,57,1,1,3,13,0,1
837,0,2,101,1,0,0,6,0,5
838,0,1,145,1,0,3,8,0,3
840,0,2,137,1,0,0,8,1,1
841,0,2,164,1,0,6,7,4,1
842,0,2,164,1,0,3,2,3,6
844,0,3,110,1,0,6,13,6,2
846,0,0,165,1,0,0,8,6,2
847,0,2,165,1,0,0,8,3,2
848,0,3,125,2,0,3,8,0,3
849,0,2,12,2,1,0,8,6,4
850,0,0,113,1,0,0,6,6,3
851,0,3,57,1,0,0,8,0,7
852,0,2,165,1,0,3,2,1,3
853,0,2,164,1,0,0,8,3,1
854,0,2,165,1,0,0,6,4,4
855,0,2,33,1,0,6,8,6,4
856,0,0,76,1,0,3,11,0,7
857,0,3,165,1,0,6,8,5,0
858,0,0,165,1,0,0,8,6,0
859,0,3,165,1,0,0,8,6,3
861,0,3,165,1,0,0,8,0,3
862,0,3,165,1,0,0,3,4,0
863,0,0,165,1,0,0,8,3,2
864,0,2,162,1,0,3,13,6,0
866,0,2,33,1,0,6,8,0,5
867,0,3,165,1,0,6,8,0,3
869,0,2,165,1,0,0,8,1,2
871,0,2,165,1,1,6,8,6,7
873,0,2,113,1,0,0,8,2,7
874,0,2,113,1,0,0,8,0,3
875,0,2,165,1,0,0,0,0,5
876,0,2,12,1,0,0,8,6,4
880,0,2,53,1,0,3,6,0,5
881,0,2,27,2,0,0,4,6,5
883,0,2,33,1,0,6,7,6,0
887,0,2,165,1,0,0,8,0,4
888,0,3,135,1,0,0,11,6,2
889,0,3,33,1,0,0,6,2,4
890,0,2,165,2,0,0,8,0,0
891,0,3,165,2,0,0,8,0,4
892,0,2,165,1,0,0,3,6,2
893,0,3,165,1,0,3,6,2,4
894,0,2,44,1,0,3,8,0,4
895,0,3,38,1,0,0,7,2,4
896,0,1,57,1,0,3,8,0,4
897,0,3,33,1,0,0,4,0,2
899,0,0,165,1,0,0,8,6,2
900,0,3,145,1,0,0,8,0,2
902,0,2,33,1,0,0,8,0,4
903,0,3,119,1,0,0,8,4,4
904,0,2,117,1,0,6,8,1,5
905,0,2,137,1,0,3,8,0,6
906,0,2,165,1,0,0,8,0,5
908,0,2,165,1,0,0,8,6,7
909,0,2,165,1,0,1,3,6,2
910,0,3,71,1,0,0,8,1,7
911,0,3,165,1,0,3,5,4,5
912,0,2,165,1,0,0,0,5,8
913,0,2,165,1,0,0,8,6,0
914,0,1,165,1,0,0,6,0,7
915,0,2,165,1,0,0,6,6,4
916,0,0,127,1,0,0,8,6,4
917,0,3,33,1,0,0,6,0,3
918,0,2,33,3,1,6,8,6,9
919,0,0,33,1,0,6,8,0,6
920,0,2,164,1,0,0,8,6,7
922,0,0,165,1,0,0,12,6,0
923,0,0,33,1,0,6,7,0,4
927,0,2,57,1,0,6,8,6,3
928,0,0,132,1,0,6,7,2,1
929,0,3,165,1,0,0,8,4,3
930,0,0,164,1,0,0,7,3,4
931,0,3,11,1,0,0,8,2,2
932,0,3,57,1,0,6,7,0,0
933,0,0,145,1,0,3,11,6,1
934,0,2,71,3,0,0,6,6,2
936,0,2,165,1,0,0,8,6,3
939,0,2,38,1,0,6,7,0,4
945,0,0,164,1,0,0,8,0,0
947,0,0,164,1,0,0,8,0,4
948,0,3,149,1,0,6,5,0,2
949,0,2,9,1,0,0,8,0,3
950,0,3,57,3,1,6,8,0,3
951,1,0,52,1,0,0,7,6,4
952,0,1,149,1,0,1,8,0,0
953,0,3,165,3,0,6,8,0,7
955,0,2,165,1,0,0,4,6,3
